,patch_id,star_id_b,star_id_r,magnitude_b,magnitude_r,asc_d,asc_m,asc_s,dec_d,dec_m,dec_s,period,frequency,num_points_good_b,num_points_good_r,asym_b,asym_r,log_p_not_variable,sigma_flux_b,sigma_flux_r,type,quality,div_period
150_3195,150.0,3195.0,3083.0,19.6173,19.4293,5.0,36.0,47.31,-67.0,37.0,38.83,0.919008,1.0881299999999998,123.0,122.0,1.41176,0.794118,-4.19318,23.8302,26.0361,3.0,2.0,3.0
379_9990,379.0,9990.0,10486.0,16.2151,15.5155,5.0,20.0,12.83,-68.0,44.0,33.04,39.7728,0.0251428,122.0,124.0,1.0678,0.127273,-4.75731,528.991,904.347,2.0,2.0,8.0
693_10410,693.0,10410.0,10864.0,19.3801,18.9329,4.0,55.0,20.98,-69.0,45.0,23.87,1.9034,0.5253760000000001,120.0,114.0,1.22222,1.03571,0.281024,29.3602,42.4009,3.0,0.0,4.0
676_5745,676.0,5745.0,5566.0,19.0062,18.8387,5.0,0.0,28.46,-66.0,33.0,20.92,1.5416,0.6486770000000001,117.0,115.0,1.85366,0.949153,-4.26754,42.1449,46.4589,3.0,2.0,5.0
270_973,270.0,973.0,1071.0,18.697,18.6381,5.0,30.0,4.94,-69.0,14.0,4.91,5.00359,0.199857,120.0,124.0,0.395349,0.771429,-2.8185,49.3395,54.8827,3.0,0.0,5.0
619_2517,619.0,2517.0,2333.0,16.4436,16.0855,5.0,3.0,47.47,-66.0,15.0,38.36,29.4737,0.0339286,118.0,118.0,2.18919,0.934426,-7.17575,521.221,585.2090000000002,2.0,2.0,8.0
749_2669,749.0,2669.0,2660.0,16.0974,15.508,4.0,52.0,7.68,-69.0,36.0,51.22,34.4828,0.029,117.0,115.0,0.8870969999999999,0.105769,-4.3288,573.134,872.6289999999998,2.0,2.0,4.0
315_8885,315.0,8885.0,8744.0,19.4006,18.9735,5.0,24.0,26.73,-67.0,12.0,19.18,0.9846,1.01564,123.0,125.0,2.72727,2.28947,-12.9931,32.9542,46.4328,3.0,2.0,2.0
108_1438,108.0,1438.0,1523.0,19.6918,19.2566,5.0,44.0,0.82,-70.0,16.0,49.28,2.41313,0.4144,122.0,119.0,1.10345,1.28846,-2.52618,21.1744,32.6743,3.0,1.0,8.0
490_1020,490.0,1020.0,1002.0,20.0665,19.1989,5.0,13.0,4.73,-68.0,28.0,56.47,3.10861,0.321687,118.0,118.0,1.80952,0.710145,-5.62317,17.1148,32.2324,3.0,2.0,4.0
599_571,599.0,571.0,525.0,19.496,19.093,5.0,5.0,20.09,-67.0,48.0,23.18,3.12875,0.319616,118.0,118.0,1.18519,0.532468,-2.52212,26.0339,35.2149,3.0,1.0,8.0
240_3838,240.0,3838.0,4080.0,19.6874,18.922,5.0,31.0,0.36,-68.0,51.0,47.97,0.459164,2.17787,122.0,123.0,2.93548,1.15789,-6.52728,27.3343,43.0851,3.0,2.0,1.0
245_2376,245.0,2376.0,2662.0,19.5979,19.161,5.0,31.0,57.53,-69.0,46.0,31.84,1.04836,0.953871,120.0,115.0,2.63636,1.39583,-7.5614,30.7441,37.7559,3.0,1.0,2.0
361_6997,361.0,6997.0,12444.0,19.2478,18.7201,5.0,23.0,51.75,-70.0,42.0,24.31,1.34936,0.741092,124.0,124.0,1.03279,1.17544,-0.385134,32.0764,52.097,3.0,0.0,4.0
123_2953,123.0,2953.0,2721.0,19.8277,19.2784,5.0,39.0,0.39,-67.0,47.0,28.45,5.32523,0.187785,123.0,119.0,2.075,1.42857,-5.3316,21.4203,33.1354,3.0,2.0,10.0
610_11314,610.0,11314.0,11814.0,17.9861,18.1886,5.0,1.0,44.7,-69.0,59.0,43.28,2.90942,0.343711,119.0,119.0,0.416667,0.433735,-8.55565,96.5951,79.8335,1.0,2.0,7.0
497_3511,497.0,3511.0,3797.0,16.4005,15.839,5.0,11.0,37.7,-69.0,45.0,18.23,12.0898,0.0827144,118.0,120.0,1.74419,2.15789,-4.8387,488.795,767.878,2.0,2.0,8.0
635_336,635.0,336.0,387.0,18.7621,18.4326,5.0,2.0,5.68,-69.0,19.0,55.63,0.599932,1.6668599999999998,119.0,119.0,0.630137,0.859375,0.3866,48.5392,67.4459,3.0,1.0,2.0
184_748,184.0,748.0,739.0,17.3663,16.4975,5.0,36.0,23.0,-68.0,49.0,0.95,5.81879,0.17185699999999998,124.0,124.0,2.64706,1.10169,-6.38252,199.871,404.2,2.0,2.0,5.0
65_6790,65.0,6790.0,6817.0,18.3425,18.5636,5.0,43.0,25.24,-67.0,29.0,24.8,0.6678970000000001,1.49724,122.0,122.0,0.71831,0.626667,-0.4584,72.1872,57.7387,3.0,0.0,2.0
193_11756,193.0,11756.0,12215.0,19.4837,18.9549,5.0,35.0,49.28,-70.0,38.0,2.67,1.94861,0.5131859999999999,122.0,115.0,1.0,0.666667,-1.1549200000000002,25.8937,39.5562,1.0,0.0,6.0
699_8393,699.0,8393.0,7741.0,19.5648,18.7695,4.0,54.0,9.58,-70.0,55.0,0.1,1.57514,0.634864,112.0,107.0,1.38298,1.09804,-0.308528,24.2922,49.9097,3.0,1.0,4.0
221_5197,221.0,5197.0,5355.0,17.215,17.3049,5.0,33.0,40.31,-70.0,33.0,4.45,11.7548,0.0850716,124.0,124.0,0.0877193,0.127273,-12.4017,150.96,147.463,1.0,2.0,2.0
165_3623,165.0,3623.0,3843.0,16.4968,15.8225,5.0,38.0,51.44,-70.0,29.0,36.01,4.52101,0.22119,124.0,121.0,1.2963,1.08621,-6.9981,422.909,750.431,1.0,1.0,3.0
624_10856,624.0,10856.0,5481.0,19.273,18.8711,5.0,2.0,5.93,-67.0,16.0,51.16,3.152,0.317259,118.0,117.0,8.83333,8.0,-0.11158,53.4141,72.1144,3.0,1.0,12.0
218_3507,218.0,3507.0,3721.0,17.3012,16.3918,5.0,33.0,54.48,-69.0,57.0,3.37,1.7431,0.573691,124.0,124.0,0.512195,0.493976,-3.65218,185.112,414.476,1.0,1.0,4.0
246_4896,246.0,4896.0,5369.0,18.8372,18.8632,5.0,31.0,5.73,-70.0,0.0,40.04,1.02785,0.972905,123.0,112.0,2.96774,1.38298,-4.37899,60.3326,50.2594,3.0,1.0,2.0
123_674,123.0,674.0,604.0,15.6691,15.4839,5.0,39.0,53.7,-67.0,50.0,8.55,96.5517,0.0103571,123.0,120.0,1.23636,0.121495,-2.68396,873.977,851.529,2.0,2.0,4.0
500_7133,500.0,7133.0,7204.0,18.4965,18.829,5.0,12.0,12.75,-70.0,28.0,9.22,1.3253,0.754546,119.0,115.0,0.122642,0.716418,-2.1256,55.7012,44.2498,1.0,0.0,1.0
561_7279,561.0,7279.0,7144.0,19.414,19.2529,5.0,8.0,0.42,-66.0,0.0,50.99,0.488323,2.04782,61.0,78.0,1.65217,1.51613,-3.68365,30.0745,33.694,3.0,2.0,1.0
744_10122,744.0,10122.0,10022.0,16.1895,15.7522,4.0,52.0,46.97,-68.0,44.0,12.29,18.6253,0.0536904,118.0,116.0,1.22642,0.705882,-1.55658,542.356,777.3489999999998,2.0,1.0,8.0
240_7710,240.0,7710.0,12268.0,18.9716,17.6399,5.0,31.0,45.57,-68.0,57.0,53.36,0.593691,1.68438,124.0,124.0,1.6383,0.530864,-0.14311300000000002,42.1496,136.093,3.0,0.0,1.0
125_6869,125.0,6869.0,6561.0,18.3532,18.628,5.0,40.0,2.95,-68.0,19.0,57.98,3.8621,0.25892600000000005,123.0,121.0,0.182692,0.247423,0.231337,67.191,50.8459,1.0,1.0,4.0
359_7027,359.0,7027.0,7355.0,18.9814,18.5941,5.0,23.0,45.32,-70.0,17.0,31.34,2.27103,0.440329,124.0,120.0,1.33962,0.818182,-2.57908,41.7591,57.6117,3.0,1.0,7.0
191_6198,191.0,6198.0,6688.0,16.2826,15.4364,5.0,37.0,30.18,-70.0,13.0,57.49,11.9149,0.0839285,124.0,124.0,2.54286,1.53061,-6.8858,698.2330000000002,1138.75,2.0,2.0,9.0
382_7878,382.0,7878.0,8634.0,19.0288,18.4138,5.0,20.0,54.8,-69.0,17.0,30.61,1.05685,0.946208,121.0,123.0,2.90323,1.5625,-5.28054,48.681,74.5388,3.0,1.0,2.0
642_2468,642.0,2468.0,2413.0,19.4619,18.8525,5.0,0.0,2.81,-70.0,38.0,23.26,1.91914,0.5210670000000001,110.0,100.0,2.54839,1.04082,-7.150289999999999,29.5325,47.0618,3.0,2.0,3.0
17_7645,17.0,7645.0,7954.0,19.787,19.2126,5.0,48.0,20.46,-68.0,59.0,56.24,1.4600799999999998,0.684894,92.0,104.0,1.3,0.962264,-2.44044,19.8002,32.788000000000004,3.0,1.0,6.0
692_7663,692.0,7663.0,8359.0,19.8877,19.4321,4.0,56.0,37.21,-69.0,35.0,10.42,0.90622,1.10348,116.0,96.0,3.2963,2.2,-8.592419999999999,24.2257,31.4314,3.0,2.0,2.0
594_1631,594.0,1631.0,1560.0,16.4687,16.0579,5.0,5.0,36.4,-66.0,52.0,54.16,18.7166,0.0534285,118.0,120.0,0.84375,0.7391300000000001,-4.847180000000002,410.481,592.514,2.0,1.0,9.0
191_1873,191.0,1873.0,2005.0,17.7578,17.9394,5.0,36.0,53.6,-70.0,8.0,56.73,1.10159,0.907779,124.0,124.0,0.9375,2.44444,0.20803,122.989,123.467,3.0,0.0,2.0
279_4809,279.0,4809.0,4919.0,17.9716,15.4827,5.0,29.0,13.95,-70.0,55.0,9.68,251.497,0.00397619,123.0,125.0,2.23684,3.31034,-12.9527,120.049,1210.08,4.0,2.0,2.0
680_4173,680.0,4173.0,3965.0,17.7285,17.0533,4.0,58.0,34.42,-67.0,11.0,26.04,2.20406,0.453708,119.0,115.0,1.76744,1.7381,-1.60238,133.909,246.481,3.0,2.0,5.0
44_9848,44.0,9848.0,9393.0,17.7763,16.7092,5.0,45.0,15.25,-68.0,48.0,52.26,65.5226,0.0152619,122.0,122.0,0.90625,1.30189,-12.5319,120.665,344.451,2.0,3.0,4.0
110_2034,110.0,2034.0,2125.0,15.902,15.3664,5.0,44.0,14.29,-70.0,41.0,13.21,16.1788,0.06180930000000001,119.0,120.0,0.859375,2.63636,-2.76832,684.4019999999998,1221.56,2.0,2.0,8.0
721_3541,721.0,3541.0,3533.0,19.5697,19.0058,4.0,53.0,59.16,-69.0,38.0,12.45,0.557708,1.79305,118.0,112.0,2.57576,2.6129,-8.46239,28.7227,47.3955,3.0,2.0,1.0
297_6843,297.0,6843.0,7984.0,20.0204,19.2296,5.0,27.0,21.2,-69.0,7.0,30.18,2.84267,0.35178200000000004,118.0,120.0,1.45833,0.6,-1.49248,17.0903,29.0126,3.0,1.0,7.0
576_247,576.0,247.0,268.0,14.5089,14.9535,5.0,6.0,50.44,-68.0,49.0,36.87,1.3764299999999998,0.726517,119.0,120.0,2.21622,1.4,-4.20921,2763.76,1709.84,3.0,1.0,2.0
621_2650,621.0,2650.0,2469.0,19.9151,19.3795,5.0,3.0,25.18,-66.0,42.0,55.07,4.37275,0.228689,116.0,113.0,0.274725,0.883333,0.0694807,14.4794,28.2647,1.0,1.0,2.0
184_2504,184.0,2504.0,2444.0,19.3058,18.6049,5.0,35.0,38.96,-68.0,49.0,38.8,2.63194,0.379948,123.0,124.0,2.32432,1.17544,-4.214180000000002,33.6359,58.8166,3.0,2.0,4.0
743_6127,743.0,6127.0,5997.0,19.3622,17.9479,4.0,54.0,18.02,-68.0,36.0,0.06,16.9424,0.0590235,117.0,116.0,1.78571,2.625,-8.90874,31.4143,125.669,2.0,2.0,1.0
661_9917,661.0,9917.0,10233.0,15.7073,15.4492,4.0,59.0,1.74,-69.0,2.0,36.13,19.7184,0.0507141,112.0,114.0,1.24,0.373494,-4.7460900000000015,857.443,1008.24,2.0,2.0,3.0
606_9452,606.0,9452.0,10375.0,14.404000000000002,14.5023,5.0,3.0,9.15,-69.0,13.0,24.37,52.5657,0.0190238,118.0,120.0,1.87805,2.24324,-5.81153,3200.51,2643.53,2.0,2.0,3.0
612_4381,612.0,4381.0,4441.0,17.0009,16.258,5.0,1.0,53.13,-70.0,15.0,47.95,7.14162,0.140024,119.0,120.0,1.76744,0.875,-2.91843,260.672,496.742,2.0,1.0,5.0
492_7173,492.0,7173.0,7681.0,18.2292,16.6257,5.0,12.0,47.0,-68.0,54.0,10.58,1.37941,0.7249479999999999,117.0,120.0,1.34,1.4,-2.03072,82.0491,361.137,3.0,1.0,2.0
261_8180,261.0,8180.0,9521.0,16.5081,15.8664,5.0,28.0,59.44,-67.0,36.0,14.49,0.666625,1.50009,123.0,125.0,0.757143,2.125,-0.921158,389.128,747.6060000000001,3.0,0.0,2.0
120_483,120.0,483.0,462.0,17.3529,16.6075,5.0,39.0,32.21,-67.0,15.0,18.6,3.21916,0.31064,122.0,113.0,0.184466,0.395062,-5.25053,162.27700000000004,352.858,1.0,1.0,2.0
286_7907,286.0,7907.0,7719.0,19.3049,18.8263,5.0,26.0,48.34,-66.0,59.0,18.62,3.26978,0.305831,123.0,122.0,1.32075,1.10345,-1.40711,30.7194,47.3768,3.0,1.0,5.0
605_10322,605.0,10322.0,12560.0,19.5691,19.0619,5.0,2.0,39.68,-69.0,6.0,25.2,2.30077,0.434637,119.0,114.0,1.24528,2.0,-2.61055,24.1469,43.0865,3.0,1.0,4.0
75_6353,75.0,6353.0,6648.0,19.8673,19.1118,5.0,45.0,43.87,-69.0,25.0,53.87,1.06335,0.940424,120.0,121.0,2.0,0.920635,-4.5236800000000015,20.1432,35.4172,3.0,2.0,2.0
219_6445,219.0,6445.0,12670.0,18.8452,17.8064,5.0,35.0,14.8,-70.0,17.0,41.87,1.27227,0.7859970000000001,123.0,115.0,2.0,1.09091,-2.75692,50.1144,123.286,3.0,2.0,3.0
238_3942,238.0,3942.0,4286.0,18.975,18.518,5.0,30.0,25.95,-68.0,29.0,15.62,2.5478,0.392495,123.0,123.0,1.61702,0.597403,0.145095,42.0517,59.182,2.0,0.0,2.0
274_6336,274.0,6336.0,6750.0,14.3239,14.3795,5.0,30.0,33.45,-70.0,5.0,9.36,16.4642,0.0607378,122.0,125.0,1.44,0.923077,-8.07248,3215.34,2822.25,2.0,1.0,3.0
656_3922,656.0,3922.0,3854.0,17.0309,15.9595,4.0,59.0,56.81,-68.0,1.0,9.75,6.83148,0.14638099999999998,118.0,114.0,3.06897,1.59091,-6.02254,294.252,682.4839999999998,2.0,2.0,2.0
56_1308,56.0,1308.0,1425.0,19.2177,18.8045,5.0,49.0,34.57,-71.0,2.0,49.01,0.553053,1.80814,97.0,106.0,1.6944400000000002,1.40909,-0.105852,35.453,48.12300000000001,3.0,1.0,1.0
204_5346,204.0,5346.0,5026.0,18.4038,16.0817,5.0,33.0,44.61,-67.0,24.0,25.51,214.285,0.00466668,115.0,124.0,0.796875,0.530864,-20.2811,70.0885,557.447,4.0,2.0,1.0
240_3037,240.0,3037.0,3215.0,18.4261,17.3976,5.0,31.0,19.8,-68.0,51.0,54.54,11.6247,0.0860237,124.0,124.0,1.06667,0.8507459999999999,-7.118360000000001,69.1771,173.606,2.0,2.0,6.0
297_1773,297.0,1773.0,2117.0,16.1097,16.4323,5.0,27.0,24.17,-69.0,2.0,57.3,0.66578,1.5019999999999998,123.0,125.0,1.15789,1.45098,-1.02624,575.933,435.321,3.0,1.0,2.0
488_5428,488.0,5428.0,5372.0,16.8196,16.1944,5.0,11.0,37.82,-68.0,4.0,50.32,5.61573,0.178071,118.0,120.0,1.40816,1.10526,-3.33631,311.14,543.7669999999998,2.0,2.0,3.0
109_10421,109.0,10421.0,11045.0,19.1696,19.4635,5.0,43.0,0.48,-70.0,33.0,2.69,3.06483,0.326282,119.0,97.0,0.11215,0.8653850000000001,-1.83835,29.4885,26.24,1.0,0.0,2.0
249_1866,249.0,1866.0,1997.0,18.1236,15.5057,5.0,32.0,37.65,-70.0,32.0,1.18,636.364,0.00157143,123.0,123.0,0.618421,0.447059,-5.22954,86.3032,949.058,4.0,1.0,6.0
54_4479,54.0,4479.0,4671.0,18.3366,17.3234,5.0,47.0,53.5,-70.0,38.0,37.91,5.85367,0.17083299999999998,123.0,122.0,1.36538,0.936508,-3.80024,74.6094,184.622,3.0,2.0,11.0
332_1752,332.0,1752.0,1805.0,19.4985,19.1343,5.0,25.0,43.41,-70.0,20.0,40.9,1.05285,0.949803,121.0,120.0,0.635135,0.791045,-2.46393,23.842,35.8769,3.0,1.0,3.0
552_9854,552.0,9854.0,10467.0,19.1649,18.5237,5.0,7.0,6.43,-69.0,40.0,54.14,1.35489,0.738067,119.0,120.0,2.83871,0.904762,-6.56227,39.5814,60.6355,3.0,2.0,2.0
319_1833,319.0,1833.0,1794.0,19.6874,19.2371,5.0,25.0,13.18,-67.0,54.0,50.27,3.5135,0.284616,122.0,120.0,2.2973,1.35294,-6.63719,24.4919,33.5231,3.0,1.0,6.0
205_3500,205.0,3500.0,4131.0,19.7177,19.1766,5.0,32.0,35.08,-67.0,28.0,48.41,0.530526,1.88492,124.0,124.0,3.42857,0.9375,-7.214360000000001,26.3766,33.4377,3.0,2.0,1.0
278_4069,278.0,4069.0,3997.0,18.768,19.5348,5.0,29.0,36.51,-70.0,44.0,55.17,2.36303,0.423185,122.0,121.0,2.2973,1.42,-1.69963,53.2839,26.4052,1.0,1.0,4.0
254_3042,254.0,3042.0,2820.0,17.8716,16.3588,5.0,28.0,18.79,-66.0,6.0,13.58,2.98723,0.334758,121.0,115.0,0.8615379999999999,2.10811,-0.309925,112.361,508.001,3.0,0.0,3.0
524_9321,524.0,9321.0,10054.0,19.6036,19.2999,5.0,9.0,24.52,-69.0,41.0,34.93,2.34731,0.42602,118.0,118.0,0.735294,1.3137299999999998,-2.13941,22.462,32.6757,3.0,1.0,8.0
278_2292,278.0,2292.0,2277.0,19.3876,18.794,5.0,30.0,16.83,-70.0,46.0,33.36,4.64347,0.215356,123.0,125.0,0.708333,0.8656719999999999,-3.11471,27.2505,47.7229,3.0,2.0,8.0
390_11539,390.0,11539.0,11504.0,19.7342,19.1325,5.0,19.0,42.11,-70.0,52.0,5.4,1.7693900000000002,0.565167,123.0,119.0,2.23684,0.367816,-4.4027,22.404,31.6631,3.0,2.0,3.0
238_7545,238.0,7545.0,8224.0,19.7414,19.0248,5.0,31.0,13.35,-68.0,31.0,35.11,11.6829,0.0855952,122.0,123.0,2.38889,1.19643,-3.4295,23.6973,40.1198,2.0,1.0,8.0
136_5867,136.0,5867.0,6188.0,16.7132,15.6889,5.0,40.0,8.23,-70.0,21.0,35.96,9.83603,0.101667,124.0,124.0,2.875,1.2963,-11.0145,409.878,862.55,2.0,3.0,3.0
217_5342,217.0,5342.0,5797.0,18.9538,18.0696,5.0,33.0,1.14,-69.0,45.0,53.12,3.3188800000000005,0.301306,124.0,121.0,2.17949,1.57447,-3.37079,47.1115,98.67,3.0,2.0,6.0
81_3809,81.0,3809.0,3985.0,19.4331,18.729,5.0,45.0,39.65,-70.0,30.0,54.16,2.20614,0.45328,122.0,117.0,2.8125,1.38776,-7.20119,31.5012,53.1876,3.0,2.0,4.0
579_5125,579.0,5125.0,5500.0,19.7246,19.5534,5.0,4.0,40.01,-69.0,22.0,35.25,2.32214,0.430637,118.0,102.0,0.296703,0.961538,-2.90078,17.6153,24.1415,1.0,0.0,2.0
128_367,128.0,367.0,340.0,17.7827,17.834,5.0,40.0,40.12,-68.0,43.0,51.88,2.45962,0.406567,123.0,121.0,0.921875,1.57447,-5.7653300000000005,120.446,123.438,3.0,2.0,8.0
245_9200,245.0,9200.0,10151.0,17.9835,15.2657,5.0,31.0,32.4,-69.0,54.0,11.42,1.99187,0.502041,123.0,124.0,1.41176,1.10169,-0.556843,104.661,1257.22,3.0,0.0,2.0
597_4012,597.0,4012.0,3844.0,17.9151,18.2019,5.0,4.0,20.8,-67.0,28.0,35.96,1.20852,0.827458,119.0,119.0,1.125,0.608108,-2.0971,108.661,81.5317,1.0,1.0,2.0
246_9496,246.0,9496.0,10532.0,18.5148,15.6604,5.0,31.0,27.26,-70.0,2.0,55.77,5.00657,0.199738,123.0,124.0,1.79545,1.6383,-13.9855,68.4268,916.853,4.0,1.0,1.0
398_6531,398.0,6531.0,6349.0,19.3842,19.0082,5.0,19.0,25.36,-67.0,1.0,35.54,1.23959,0.806718,122.0,122.0,1.03333,1.77273,-6.055630000000002,28.2771,41.7591,3.0,1.0,4.0
748_520,748.0,520.0,606.0,18.1682,18.104,4.0,53.0,5.42,-69.0,28.0,29.15,1.50616,0.66394,118.0,115.0,0.421687,0.796875,-2.96872,82.7318,89.6056,1.0,0.0,2.0
608_9612,608.0,9612.0,10103.0,17.1953,16.0131,5.0,2.0,53.23,-69.0,36.0,57.3,51.3447,0.0194762,119.0,120.0,1.47917,1.14286,-17.9685,236.543,656.455,2.0,3.0,3.0
497_2209,497.0,2209.0,8695.0,19.265,18.9015,5.0,12.0,3.78,-69.0,49.0,45.39,4.24975,0.235308,118.0,120.0,3.53846,1.6087,-8.84344,40.3718,47.834,3.0,2.0,8.0
193_8468,193.0,8468.0,8797.0,17.980999999999995,18.1737,5.0,37.0,7.16,-70.0,39.0,30.17,2.75088,0.36352,124.0,124.0,1.0,0.44186,-1.15543,102.626,80.5077,1.0,0.0,4.0
164_4669,164.0,4669.0,4939.0,19.4579,18.6127,5.0,38.0,14.82,-70.0,17.0,51.43,1.17861,0.848457,123.0,122.0,3.39286,1.71111,-6.67203,34.6821,59.6711,3.0,2.0,2.0
721_6991,721.0,6991.0,1120.0,19.1047,18.4363,4.0,54.0,44.58,-69.0,43.0,17.61,1.6308,0.613196,119.0,112.0,1.47917,1.11321,-1.40305,37.0113,67.7344,3.0,1.0,5.0
687_3981,687.0,3981.0,3964.0,19.584,18.7655,4.0,57.0,18.93,-68.0,33.0,54.34,1.01907,0.981287,119.0,108.0,3.76,0.8947370000000001,-5.19073,30.0553,49.4095,3.0,2.0,2.0
683_10780,683.0,10780.0,10285.0,19.7435,19.0554,4.0,57.0,45.03,-67.0,53.0,15.6,1.54115,0.6488659999999999,119.0,115.0,1.125,0.8548389999999999,-0.0150026,20.6751,37.4072,3.0,1.0,2.0
607_5029,607.0,5029.0,5434.0,16.0276,15.5657,5.0,2.0,33.78,-69.0,18.0,49.72,44.9198,0.0222619,119.0,120.0,1.70455,0.764706,-5.99067,684.914,939.652,2.0,2.0,9.0
78_5362,78.0,5362.0,5708.0,17.569000000000006,16.4999,5.0,44.0,14.78,-69.0,51.0,39.63,10.3473,0.0966436,122.0,122.0,3.51852,2.05,-13.1713,211.297,437.189,2.0,3.0,4.0
555_6397,555.0,6397.0,6607.0,19.7175,18.905,5.0,8.0,1.96,-70.0,14.0,55.39,3.75539,0.266284,116.0,120.0,2.22222,0.764706,-2.96911,22.6114,43.3022,3.0,1.0,6.0
302_5317,302.0,5317.0,5463.0,17.5705,16.8233,5.0,26.0,27.17,-69.0,58.0,57.0,2.52741,0.395662,123.0,100.0,2.84375,1.08333,-14.1509,181.101,308.6740000000001,2.0,2.0,2.0
58_7230,58.0,7230.0,2322.0,19.5037,19.1497,5.0,41.0,44.31,-66.0,8.0,22.5,1.04043,0.961141,113.0,112.0,3.91304,1.38298,-9.60258,32.1546,36.4928,3.0,2.0,2.0
241_7331,241.0,7331.0,7954.0,19.8184,19.0737,5.0,31.0,53.78,-69.0,4.0,48.66,5.71041,0.175119,102.0,97.0,1.37209,1.25581,-1.55596,19.9616,38.8589,3.0,1.0,10.0
291_10384,291.0,10384.0,10100.0,16.4011,16.6124,5.0,25.0,56.52,-67.0,58.0,12.55,2.22614,0.449208,124.0,125.0,0.7971010000000001,0.689189,-2.54526,432.884,351.4290000000001,1.0,1.0,7.0
490_10399,490.0,10399.0,10792.0,16.6908,15.9183,5.0,11.0,50.28,-68.0,30.0,58.71,19.5077,0.0512618,118.0,120.0,2.10526,1.18182,-10.4522,400.136,690.8960000000002,2.0,2.0,6.0
107_7872,107.0,7872.0,8260.0,18.4449,15.8941,5.0,43.0,47.88,-70.0,13.0,31.05,287.671,0.00347619,124.0,120.0,1.13793,0.690141,-11.6469,67.7509,672.055,4.0,2.0,1.0
200_2125,200.0,2125.0,1995.0,17.2269,17.2144,5.0,32.0,40.5,-66.0,29.0,0.76,3.92857,0.254546,124.0,117.0,0.0689655,0.147059,-5.9460000000000015,163.313,178.347,1.0,1.0,1.0
517_6958,517.0,6958.0,7114.0,18.942,18.6044,5.0,10.0,59.3,-68.0,22.0,29.0,3.04505,0.328402,117.0,119.0,1.7209299999999998,0.95082,-3.3780900000000003,46.0828,56.7868,3.0,2.0,5.0
47_8846,47.0,8846.0,9498.0,20.7031,19.6441,5.0,46.0,26.39,-69.0,26.0,11.29,0.583028,1.71518,116.0,118.0,1.07143,1.0344799999999998,-0.298005,8.83801,22.6986,3.0,0.0,1.0
663_541,663.0,541.0,551.0,18.6792,18.5503,4.0,59.0,50.14,-69.0,19.0,32.07,5.08169,0.196785,120.0,114.0,1.4,0.676471,-0.27860300000000005,54.7375,58.4676,2.0,0.0,4.0
561_8283,561.0,8283.0,7953.0,16.7051,15.7238,5.0,7.0,38.91,-66.0,1.0,13.85,6.653980000000002,0.150286,61.0,80.0,1.90476,1.22222,0.106267,367.705,819.0160000000002,2.0,2.0,2.0
98_477,98.0,477.0,476.0,16.4139,16.5798,5.0,42.0,27.63,-68.0,21.0,12.93,1.41875,0.704846,122.0,116.0,0.71831,0.589041,-2.98074,426.67,359.39,1.0,2.0,1.0
741_12214,741.0,12214.0,11987.0,19.3147,18.7934,4.0,52.0,48.38,-68.0,12.0,43.92,4.90943,0.20369,116.0,114.0,1.57778,1.03571,-2.14434,30.7629,49.1517,2.0,1.0,3.0
396_4299,396.0,4299.0,4098.0,18.8202,16.575,5.0,18.0,28.32,-66.0,33.0,34.27,171.428,0.00583335,122.0,122.0,1.65217,0.848485,-13.3491,50.0767,368.346,4.0,1.0,1.0
322_382,322.0,382.0,374.0,19.743,18.954,5.0,25.0,50.16,-68.0,29.0,33.81,2.02071,0.494876,122.0,125.0,1.44,2.125,0.245644,21.0589,44.285,3.0,0.0,7.0
498_4680,498.0,4680.0,4896.0,18.9188,17.6612,5.0,11.0,6.4,-69.0,59.0,5.43,1.04948,0.952853,116.0,118.0,1.9,1.14545,-1.05236,45.7878,139.127,3.0,2.0,2.0
631_10563,631.0,10563.0,13097.0,20.1381,19.4954,5.0,1.0,12.96,-68.0,42.0,29.83,3.91538,0.25540300000000005,110.0,110.0,2.54839,1.82051,-6.07816,18.1393,28.7121,3.0,2.0,7.0
774_2236,774.0,2236.0,2141.0,17.3936,16.1409,4.0,50.0,50.5,-69.0,5.0,28.22,17.6101,0.0567856,113.0,113.0,1.97368,0.765625,-4.658,199.273,547.932,2.0,2.0,7.0
111_10099,111.0,10099.0,10465.0,19.1754,18.6911,5.0,43.0,35.14,-70.0,55.0,49.55,0.7033590000000001,1.42175,124.0,123.0,2.44444,1.46,-0.339985,38.2744,54.3811,3.0,1.0,1.0
637_8188,637.0,8188.0,8418.0,19.5504,19.0481,5.0,0.0,56.62,-69.0,46.0,43.13,2.86009,0.349639,119.0,117.0,0.4,0.625,-3.84979,21.9106,37.0864,3.0,1.0,8.0
377_4819,377.0,4819.0,4818.0,15.5047,15.8363,5.0,19.0,59.93,-68.0,15.0,9.11,3.52441,0.283735,122.0,124.0,0.694444,0.8787879999999999,-1.52171,960.18,720.2230000000002,3.0,0.0,5.0
630_4722,630.0,4722.0,4724.0,17.4296,16.825,5.0,1.0,25.26,-68.0,21.0,20.81,5.895569999999998,0.169619,119.0,118.0,1.70455,1.14545,-2.98877,177.02200000000005,301.587,3.0,2.0,7.0
209_3973,209.0,3973.0,3933.0,19.9401,19.2287,5.0,32.0,30.5,-68.0,13.0,11.67,1.04178,0.959896,123.0,123.0,0.782609,0.808824,-0.588796,16.5002,31.7589,3.0,1.0,3.0
